selling_price,km_driven,transmission,owner,mileage,engine,max_power,seats,age,seller_type_Individual,seller_type_Trustmark Dealer,fuel_Diesel,fuel_LPG,fuel_Petrol,brand_Ashok,brand_Audi,brand_BMW,brand_Chevrolet,brand_Daewoo,brand_Datsun,brand_Fiat,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land,brand_Lexus,brand_MG,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo
1149000,-1.1307066410199547,0,0,-0.628733738505157,0.32923483111451146,1.0027834795590027,5.0,-1.3036618325724867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,-0.48079402915364006,0,0,0.28629225668673575,-0.5016591621026225,-0.7075818519751571,5.0,-0.5273579304332936,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425000,-0.16462032608354105,0,1,-1.4025986986261245,1.572404469821063,1.5297523929396013,7.0,0.7664819064653615,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150000,0.11642296553432471,0,0,-0.8555996877262873,-1.3515812620346528,-1.6525350738172344,4.0,0.5077139390856305,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2100000,-1.1307066410199547,1,0,-0.8808070154175243,-0.14223936859902767,2.2460269350958963,5.0,-1.3036618325724867,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925000,-0.7108982241657676,0,0,-0.42707511697526307,0.13049682764781784,0.8767897166467258,5.0,-1.0448938651927555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425000,0.2973445845133258,0,0,-0.6791483938876304,0.13049682764781784,0.8452912759186566,5.0,0.24894597170589947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675000,-0.8092633762320206,1,0,-0.2506238231366062,-0.5037733961820554,-0.19919701862411948,5.0,-1.0448938651927555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
819999,-0.6459069629791362,0,0,1.211401182955124,-0.395947458130977,-0.03036537632166835,5.0,-1.0448938651927555,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390000,-1.0376110506715366,0,0,1.1231755360357951,-0.9245059779892046,-0.7060069299387537,5.0,-1.0448938651927555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
700000,0.5204226972350068,0,0,-1.6395475789237497,2.23838820484243,0.33186669205112795,7.0,0.24894597170589947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1450000,-0.730219950464496,1,1,-1.1832949477123649,1.4962920429614783,0.9838844151221614,5.0,-0.009821995673831557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
425000,-0.3437854244899305,0,0,1.3122304937200704,0.13261106172725076,0.2887138282536729,5.0,-0.2685899630535626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090000,1.4338133949930705,0,0,-1.5109902076984425,2.2024462254920705,2.7118888734640403,7.0,0.24894597170589947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600000,-0.25771591643195907,0,0,1.639925753706148,0.13261106172725076,0.28776887503183085,5.0,-0.2685899630535626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850000,-0.09435950317907461,0,0,0.291333722224983,0.056498634867665966,0.434236624417353,5.0,-1.0448938651927555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
525000,-0.11192470890519123,0,0,1.9676210136922256,0.13261106172725076,0.28776887503183085,5.0,-0.2685899630535626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650000,1.0245441015745536,1,1,-2.0504270202909085,2.79020329957442,2.5840052041080788,7.0,-0.5273579304332936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
